Smiles,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)Cc7cc(-c9ccc%10c(c9)S(=O)(=O)c9cc(-c%11ccc%12c(c%11)Cc%11cc(-c%13ccc%14c(c%13)S(=O)(=O)c%13cc(-c%15ccc%16c(c%15)Cc%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,0.9187839999999998,-1.9837920000000002,3.2681499999999994
c1ccc2c(c1)sc1cc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)sc5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)sc9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)sc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)ccc78)ccc56)ccc34)ccc12,0.89388,-2.1959760000000004,3.3863000000000003
c1ccc2c(c1)[nH]c1cc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)[nH]c5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)[nH]c9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)[nH]c%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)ccc78)ccc56)ccc34)ccc12,0.7746399999999996,-2.3621280000000002,3.31575
O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)S(=O)(=O)c9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)S(=O)(=O)c%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13-%14)ccc%11%12)ccc9-%10)ccc78)ccc5-6)ccc34)cc21,0.9956079999999998,-1.9532160000000003,3.33785
O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13-%14)ccc%11%12)ccc9-%10)ccc78)ccc5-6)ccc34)cc21,1.0147039999999998,-1.4006640000000004,2.4938000000000002
c1ccc2c(c1)[nH]c1cc(-c3ccc4c(c3)[nH]c3cc(-c5ccc6c(c5)[nH]c5cc(-c7ccc8c(c7)[nH]c7cc(-c9ccc%10c(c9)[nH]c9cc(-c%11ccc%12c(c%11)[nH]c%11cc(-c%13ccc%14c(c%13)[nH]c%13cc(-c%15ccc%16c(c%15)[nH]c%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)ccc78)ccc56)ccc34)ccc12,0.6499439999999995,-2.522568,3.2996
O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)[nH]c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)[nH]c7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)[nH]c%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)[nH]c%15ccccc%15%16)ccc%13-%14)ccc%11%12)ccc9-%10)ccc78)ccc5-6)ccc34)cc21,0.8677439999999998,-1.4487120000000002,2.4785
O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc%10c(c9)S(=O)(=O)c9cc(-c%11ccc%12c(c%11)S(=O)(=O)c%11cc(-c%13ccc%14c(c%13)S(=O)(=O)c%13cc(-c%15ccc%16c(c%15)S(=O)(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,1.1104479999999994,-1.8210840000000004,3.3046999999999995
O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)S(=O)(=O)c%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)S(=O)(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,1.1215359999999994,-1.3992360000000001,2.53205
O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)C(=O)c7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)C(=O)c%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)C(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,1.1300719999999997,-1.2428280000000003,2.4581000000000004
